	description	author	year	journal	function	class	vtype	ghz	jkp	hxz	hxz_ref	cz	note	sample_start	sample_end
1	Effective Tax Rate	Abarbanell and Bushee	1998	AR						Etr	A.5.24	ETR		1974	1988
2	Gross margin growth to sales growth	Abarbanell and Bushee	1998	AR	dgp_dsale	funda		pchgm_pchsale	dgp_dsale	dGs	A.5.22	GrGMToGrSales	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. JKP use gp if available, otherwise use (sale-cogs). We follow JKP."	1974	1988
3	Industry-adjusted change in capital investment	Abarbanell and Bushee	1998	AR	pchcapx_ia	funda		pchcapx_ia		dIi	A.3.11	ChInvIA	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. HXZ use capxv; we use capx or diff(ppent) if capx is missing."	1974	1988
4	Labor force efficiency	Abarbanell and Bushee	1998	AR	sale_emp_gr1	funda			sale_emp_gr1	Lfe	A.5.25	LaborforceEfficiency		1974	1988
5	Sales growth to inventory growth	Abarbanell and Bushee	1998	AR	dsale_dinv	funda		pchsale_pchinvt	dsale_dinv	dSi	A.5.20	GrSaleToGrInv	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. "	1974	1988
6	Sales growth to receivable growth	Abarbanell and Bushee	1998	AR	dsale_drec	funda		pchsale_pchrect	dsale_drec	dSa	A.5.21	GrSaleToGrReceivables	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. "	1974	1988
7	Sales growth to SG&A growth	Abarbanell and Bushee	1998	AR	dsale_dsga	funda		pchsale_pchxsga	dsale_dsga	dSs	A.5.23	GrSaleToGrOverhead	"GHZ use changes over the previous value, not over the previous two year average. We use the two year average following the original definition. "	1974	1988
8	Liquidity beta (illiquidity-illiquidity)	Acharya and Pedersen	2005	JFE						Blcc	A.6.25	betaCC		1964	1999
9	Liquidity beta (illiquidity-return)	Acharya and Pedersen	2005	JFE						Blcr	A.6.25	betaCR		1964	1999
10	Liquidity beta (return-illiquidity)	Acharya and Pedersen	2005	JFE						Blrc	A.6.25	betaRC		1964	1999
11	Liquidity beta (return-return)	Acharya and Pedersen	2005	JFE						Bret	A.6.25	betaRR		1964	1999
12	Net liquidity beta	Acharya and Pedersen	2005	JFE						Bnet	A.6.25	betaNet		1964	1999
13	Leverage beta	"Adrian, Etula and Muir"	2014	JF						Blev	A.6.25	BetaBDLeverage		1973	2009
14	Idiosyncratic volatility (GHZ)	"Ali, Hwang, and Trombley"	2003	JFE	idiovol	crspd		idiovol					GHZ version: use weekly returns.	1976	1997
15	"Idiosyncratic volatility (Org, JKP)"	"Ali, Hwang, and Trombley"	2003	JFE	ivol_capm_252d	crspd			ivol_capm_252d	Iv	A.6.3	IdioVolAHT	JKP version. 	1976	1997
16	Illiquidity 	Amihud	2002	JFM	ami_126d	crspd		ill	ami_126d	Ami	A.6.16	Illiquidity		1964	1997
17	Bid-ask spread	Amihud and Mendelson	1986	JFE	baspread	crspd		baspread				BidAskSpread		1961	1980
18	Three-year investment growth	Anderson and Garcia-Feijoo	2006	JF	capx_gr3	funda			capx_gr3	3Ig	A.3.9	grcapx3y		1976	1999
19	Two-year investment growth	Anderson and Garcia-Feijoo	2006	JF	capx_gr2	funda		grcapx	capx_gr2	2Ig	A.3.8	grcapx		1976	1999
20	Dispersion in analyst long-term growth forecasts	"Anderson, Ghysels, and Juergens"	2005	RFS						Dlg	A.5.50	ForecastDispersionLT		1991	1997
21	Idiosyncratic volatility (CAPM)	Ang et al.	2006	JF	ivol_capm_21d	crspd			ivol_capm_21d	Ivc1	A.6.4	IdioVolCAPM		1963	2000
22	Idiosyncratic volatility (FF3)	Ang et al.	2006	JF	ivol_ff3_21d	crspd			ivol_ff3_21d	Ivff	A.6.2	IdioVol3F	JKP appear to make mistakes in correcting dof: they divide by (num. days - num. factors) instead of (num. days - 1).	1963	2000
23	Idiosyncratic volatility (q-factor)	Ang et al.	2006	JF	ivol_hxz4_21d	crspd			ivol_hxz4_21d	Ivq1	A.6.5	IdioVolQF	JKP appear to make mistakes in correcting dof: they divide by (num. days - num. factors) instead of (num. days - 1).	1963	2000
24	Return volatility	Ang et al.	2006	JF	retvol	crspd		retvol	rvol_21d	Tv	A.6.6	IdioRisk	"JKP use excess returns, while GHZ use total returns. We follow GHZ. We do not impose min. 15 days of return."	1963	2000
25	Systematic volatility	Ang et al.	2006	JF						Sv	A.6.7	betaVIX		1963	2000
26	Downside beta	"Ang, Chen, and Xing"	2006	RFS	betadown_252d	crspd			betadown_252d	beta-1	A.6.27	DownsideBeta		1963	2001
27	Industry-adjusted book-to-market	"Asness, Porter, and Stevens"	2000	WP	bm_ia	funda		bm_ia						1963	1998
28	Industry-adjusted cash flow-to-price	"Asness, Porter, and Stevens"	2000	WP	cfp_ia	funda		cfp_ia						1963	1998
29	Industry-adjusted change in employees	"Asness, Porter, and Stevens"	2000	WP	chempia	funda		chempia						1963	1998
30	Industry-adjusted firm size	"Asness, Porter, and Stevens"	2000	WP	mve_ia	funda		mve_ia						1963	1998
31	Book-to-market (June ME)	Asnesss and Frazzini	2013	JPM						Bmj	A.2.2				
32	Highest 5 days of return to volatility	Assness et al.	2020	JFE	rmax5_rvol_21d	crspd			rmax5_rvol_21d					1925	2015
33	Market correlation	Assness et al.	2020	JFE	corr_1260d	crspd			corr_1260d					1925	2015
34	Quality minus Junk: Composite	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj	merge			qmj					1957	2016
35	Quality minus Junk: Growth	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj_growth	merge			qmj_growth					1957	2016
36	Quality minus Junk: Profitability	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj_prof	merge			qmj_prof					1957	2016
37	Quality minus Junk: Safety	"Assness, Frazzini, and Pedersen"	2018	RAS	qmj_safety	merge			qmj_safety					1957	2016
38	Change in quarterly return on assets	"Balakrishnan, Bartov, and Faurel"	2010	JAE	niq_at_chg1	fundq			niq_at_chg1	dRoa	A.4.4	ChangeRoA		1976	2005
39	Change in quarterly return on equity	"Balakrishnan, Bartov, and Faurel"	2010	JAE	niq_be_chg1	fundq			niq_be_chg1	dRoe	A.4.2 	ChangeRoE	HXZ supplement fundq with funda but we only use fundq following JKP.	1976	2005
40	Quarterly return on assets	"Balakrishnan, Bartov, and Faurel"	2010	JAE	niq_at	fundq		roaq	niq_at	Roa	A.4.3	roaq		1976	2005
41	Highest 5 days of return	"Bali, Brown, and Tang"	2017	JFE	rmax5_21d	crspd			rmax5_21d					1993	2012
42	Maximum daily return	"Bali, Cakici, and Whitelaw"	2011	JFE	rmax1_21d	crspd		maxret	rmax1_21d	Mdr	A.6.18	MaxRet	HXZ require minimum 15 days of return. We don't impose this requirement.	1962	2005
43	Idiosyncratic skewness (CAPM)	"Bali, Engle, and Murray"	2016	BOOK	iskew_capm_21d	crspd			iskew_capm_21d	Isc	A.6.20	ReturnSkewCAPM		1963	2012
44	Idiosyncratic skewness (FF3)	"Bali, Engle, and Murray"	2016	BOOK	iskew_ff3_21d	crspd			iskew_ff3_21d	Isff1	A.6.21	ReturnSkew3F		1963	2012
45	Idiosyncratic skewness (q-factor)	"Bali, Engle, and Murray"	2016	BOOK	iskew_hxz4_21d	crspd			iskew_hxz4_21d	Isq	A.6.22	ReturnSkewQF		1963	2012
46	Return skewness	"Bali, Engle, and Murray"	2016	BOOK	rskew_21d	crspd			rskew_21d	Ts	A.6.19	ReturnSkew	"JKP use excess returns, while we use total returns."	1963	2012
47	Cash-based operating profitablility	Ball et al.	2016	JFE	cop_at	funda			cop_at	Cop	A.4.18	CBOperProf	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
48	Cash-based operating profits to lagged assets	Ball et al.	2016	JFE	cop_atl1	funda			cop_atl1	Cla	A.4.19	CBOperProfLagAT	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
49	Cash-based operating profits to lagged assets (quarterly)	Ball et al.	2016	JFE						Claq	A.4.20	CBOperProfLagAT_q		1963	2014
50	Operating profits-to-assets	Ball et al.	2016	JFE	op_at	funda			op_at	Opa	A.4.15	OperProfRD	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
51	Operating profits-to-lagged assets	Ball et al.	2016	JFE	op_atl1	funda			op_atl1	Ola	A.4.16	OperProfRDLagAT	JKP's numerator is different from HXZ's. We follow JKP.	1963	2014
52	Operating profits-to-lagged assets (quarterly)	Ball et al.	2016	JFE						Olaq	A.4.17	OperProfRDLagAT_q		1963	2014
53	Absolute accruals	"Bandyopadhyay, Huang, and Wirjanto"	2010	WP	absacc	funda		absacc						1976	2008
54	Accrual volatility	"Bandyopadhyay, Huang, and Wirjanto"	2010	WP	stdacc	fundq		stdacc						1976	2008
55	Market equity	Banz	1981	JFE	market_equity	crspm		mve	market_equity	Me	A.6.1	Size	HXZ use June ME. We use the latest ME following JKP.	1926	1975
56	Sales to price	"Barbee, Mukherji, and Raines"	1996	FAJ	sale_me	funda		sp	sale_me	Sp	A.2.22	SP		1979	1991
57	Sales to price (quarterly)	"Barbee, Mukherji, and Raines"	1996	FAJ						Spq	A.2.23	SP_q		1979	1991
